[13:11:55.032980] 'Generate' function (Location: 'IDs/ObjectID.cs', Line: #23)
[13:11:55.055764] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:11:55.081394] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:55.100019] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #25)
[13:11:55.119033] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:55.138573] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #188)
[13:11:55.162167] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #192)
[13:11:55.202633] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #216)
[13:11:55.227671] 'ObjectID' constructor (Location: 'IDs/ObjectID.cs', Line: #16)
[13:11:55.253561] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:11:55.277597] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:55.299297] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #30)
[13:11:55.323102] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:55.345843] 'ObjectIdentity' primary constructor (Location: 'Identities/ObjectIdentity.cs', Line: #15)
[13:11:55.369231] 'ObjectIdentity' constructor (Location: 'Identities/ObjectIdentity.cs', Line: #18)
[13:11:55.394401] 'SetParametersAsync' override function (Location: 'Pages/Index.razor.cs', Line: #44)
[13:11:55.422079] 'OnInitialized' override function (Location: 'Pages/Index.razor.cs', Line: #132)
[13:11:55.460666] 'OnInitializedAsync' override function (Location: 'Pages/Index.razor.cs', Line: #151)
[13:11:55.485122] 'OnParametersSet' override function (Location: 'Pages/Index.razor.cs', Line: #174)
[13:11:55.507987] 'OnParametersSetAsync' override function (Location: 'Pages/Index.razor.cs', Line: #193)
[13:11:55.563735] 'OnAfterRender' override function (Location: 'Pages/Index.razor.cs', Line: #90)
[13:11:55.583957] 'OnAfterRenderAsync' override function (Location: 'Pages/Index.razor.cs', Line: #109)
[13:12:09.064384] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #23)
[13:12:09.089274] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:12:09.115648] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:12:09.135925] 'Array' primary constructor (Location: 'Classes/Array.cs', Line: #38)
[13:12:09.155504] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:12:09.179951] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:12:09.204224] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[13:12:09.226988] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:12:09.246056] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[13:12:09.267545] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:12:09.289358] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:12:09.310867] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #25)
[13:12:09.333499] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:12:09.351923] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #131)
[13:12:09.370037] 'Generate' function (Location: 'IDs/ObjectID.cs', Line: #23)
