[14:00:17.383503] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #29)
[14:00:17.402187] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #39)
[14:00:17.422748] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.452482] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[14:00:17.471065] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.492860] 'BaseIdentity' primary constructor (Location: 'Bases/BaseIdentity.cs', Line: #43)
[14:00:17.512493] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.530839] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[14:00:17.549560] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.567261] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #28)
[14:00:17.586938] 'BaseName' constructor (Location: 'Bases/BaseName.cs', Line: #58)
[14:00:17.607400] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.627168] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[14:00:17.647474] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.665219] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #32)
[14:00:17.684956] 'BaseType' constructor (Location: 'Bases/BaseType.cs', Line: #187)
[14:00:17.707874] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.729106] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[14:00:17.752605] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.770584] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #29)
[14:00:17.788505] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #59)
[14:00:17.809220] 'GetHashCode' function (Location: 'Bases/BaseType.cs', Line: #278)
[14:00:17.828549] 'GetHashCode' function (Location: 'Bases/BaseType.cs', Line: #119)
[14:00:17.847503] 'BaseIdentity' constructor (Location: 'Bases/BaseIdentity.cs', Line: #71)
[14:00:17.866154] 'ObjectIdentity' constructor (Location: 'Identities/ObjectIdentity.cs', Line: #38)
[14:00:17.884914] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.903248] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[14:00:17.923418] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.944178] 'Moment' primary constructor (Location: 'Moment/Moment.cs', Line: #31)
[14:00:17.964238] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:17.980740] 'BaseData' primary constructor (Location: 'Bases/BaseData.cs', Line: #29)
[14:00:17.999417] 'MainConstructorAttribute' empty constructor (Location: 'Attributes/MainConstructorAttribute.cs', Line: #9)
[14:00:18.015862] 'BaseObject' primary constructor (Location: 'Bases/BaseObject.cs', Line: #52)
[14:00:18.032868] 'BaseObject' constructor (Location: 'Bases/BaseObject.cs', Line: #69)
[14:00:18.389527] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:18.410218] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:18.433185] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:18.454018] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:18.476999] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:21.889870] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:21.908695] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:21.925583] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:21.945264] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:21.967679] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:22.091581] 'Create' function (Location: 'Bases/BaseObject.cs', Line: #109)
[14:00:22.266949] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:22.283900] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:22.301648] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:22.320196] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:22.342865] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:22.898139] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:22.915887] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:22.934613] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:22.954108] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:22.974746] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:23.245185] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:23.282006] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:23.306075] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:23.325224] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:23.343635] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:23.633593] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:23.655016] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:23.672677] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:23.692124] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:23.772481] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:23.970216] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:23.988932] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:24.013562] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:24.034730] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:24.057830] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:24.315679] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:24.335965] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:24.356590] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:24.376736] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:24.397932] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #155)
[14:00:24.684748] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:24.707561] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #179)
[14:00:24.728104] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
[14:00:24.757605] 'ToString' override function (Location: 'Bases/BaseData.cs', Line: #41)
